firm_id,baseline_employees,total_grant_amount,grant_stage1_amount,grant_stage2_total_amount,grant_stage3_amount,post_grant_permanent_employees,post_grant_temporary_employees,total_employees_post_grant
9234,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
9273,4 (Permenent) 13 (Ad-Hoc),6000000.0,600000.0,2900000.0,1000000.0,8,15,815
9293,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
9338,5,4000000.0,300000.0,1970000.0,950000.0,0,0,00
9423,3,2000000.0,200000.0,800000.0,500000.0,6,7,67
9433,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
9597,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
9632,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
9634,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
9661,3,2600000.0,100000.0,1200000.0,650000.0,4,3,43
9742,12 persons,0.0,0.0,0.0,0.0,19,28,1928
9784,5,3000000.0,0.0,1750000.0,500000.0,4,2,42
9792,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
9884,4,4000000.0,400000.0,1600000.0,1000000.0,7,6,76
10044,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
10086,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
10284,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
10288,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
10309,5,4000000.0,300000.0,1970000.0,950000.0,0,0,00
10379,3,9600000.0,960000.0,3840000.0,2400000.0,8,13,813
10397,5,5800000.0,580000.0,3220000.0,550000.0,6,25,625
10431,2,4000000.0,300000.0,1970000.0,950000.0,0,0,00
10440,18,4000000.0,300000.0,1970000.0,950000.0,0,0,00
10449,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
10454,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
10508,Ten people for now.,5400000.0,540000.0,2160000.0,1350000.0,12,9,129
10572,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
10588,4,4000000.0,400000.0,1600000.0,1000000.0,8,2,82
10598,30 people at present,1500000.0,150000.0,775000.0,200000.0,12,4,124
10643,7,3900000.0,190000.0,1960000.0,775000.0,6,11,611
10767,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
10773,3,3500000.0,100000.0,2300000.0,500000.0,8,4,84
10856,13,5100000.0,510000.0,2040000.0,1275000.0,6,4,64
10869,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
10946,3,6000000.0,600000.0,2400000.0,1500000.0,7,2,72
10970,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
11010,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
11102,presently one,3200000.0,320000.0,1280000.0,800000.0,8,2,82
11119,3,4000000.0,300000.0,1970000.0,950000.0,0,0,00
