firm_id,city,state,region,num_paid_employees,monthly_revenue,annual_revenue_2014,last_month_income,family_applied_member,family_applied_spouse,family_applied_other,applied_third_round,selected_third_round,survival_chance_without_grant
1806,22.0,35.0,4.0,6.0,300000.0,2200000.0,100000.0,0.0,1.0,0.0,2.0,2.0,50.0
1813,24.0,9.0,2.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
1833,30.0,28.0,1.0,6.0,1500000.0,10000000.0,500000.0,0.0,0.0,0.0,2.0,2.0,20.0
1882,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
1893,19.0,15.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
1937,52.0,25.0,7.0,7.0,535000.0,3600000.0,80000.0,0.0,0.0,0.0,2.0,2.0,40.0
1958,184.0,25.0,7.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
1989,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
2008,184.0,25.0,7.0,3.0,700000.0,2000000.0,500000.0,0.0,0.0,0.0,2.0,2.0,50.0
2043,8.0,19.0,5.0,6.0,300000.0,2200000.0,100000.0,1.0,0.0,0.0,1.0,2.0,50.0
2065,8.0,19.0,5.0,3.0,100000.0,500000.0,50000.0,0.0,0.0,0.0,2.0,2.0,50.0
2093,19.0,Unknown,Unknown,6.0,150000.0,2200000.0,80000.0,0.0,0.0,0.0,2.0,2.0,50.0
2098,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
2113,19.0,15.0,6.0,6.0,150000.0,1000000.0,60000.0,0.0,1.0,0.0,2.0,2.0,50.0
2122,1.0,33.0,2.0,6.0,260000.0,2640000.0,60000.0,0.0,0.0,0.0,2.0,2.0,0.0
2175,48.0,12.0,2.0,0.0,185000.0,220000.0,18000.0,0.0,1.0,0.0,1.0,1.0,50.0
2204,Unknown,Unknown,Unknown,6.0,502800.0,2200000.0,2.5,0.0,0.0,0.0,2.0,2.0,50.0
2212,59.0,25.0,7.0,8.0,1200000.0,10800000.0,150000.0,0.0,0.0,0.0,2.0,2.0,60.0
2241,48.0,12.0,2.0,6.0,750000.0,8500000.0,120000.0,0.0,0.0,0.0,2.0,2.0,50.0
2264,316.0,27.0,6.0,6.0,120000.0,360000.0,40000.0,0.0,1.0,0.0,2.0,2.0,50.0
2318,3.0,31.0,1.0,7.0,320000.0,3750000.0,70000.0,0.0,0.0,0.0,2.0,2.0,30.0
2361,184.0,25.0,7.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
2387,184.0,25.0,7.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
2401,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
2429,9.0,1.0,3.0,16.0,714400.0,6684730.0,150000.0,0.0,0.0,0.0,2.0,2.0,100.0
2436,19.0,15.0,6.0,7.0,200000.0,8000000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
2546,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
2555,12.0,24.0,6.0,25.0,3000000.0,30000000.0,1000000.0,0.0,0.0,0.0,2.0,2.0,50.0
2572,Unknown,Unknown,Unknown,6.0,600000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
2593,335.0,20.0,5.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,1.0,2.0,50.0
2602,48.0,12.0,2.0,2.0,5000000.0,6000000.0,5000000.0,1.0,0.0,0.0,2.0,2.0,50.0
2637,19.0,15.0,6.0,5.0,2000000.0,10000000.0,500000.0,0.0,0.0,0.0,2.0,2.0,80.0
2692,193.0,31.0,1.0,16.0,1400000.0,16225000.0,500000.0,0.0,0.0,0.0,2.0,2.0,0.0
2733,2.0,1.0,3.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
2750,59.0,25.0,7.0,2.0,200000.0,2000000.0,120000.0,0.0,0.0,0.0,2.0,2.0,50.0
2765,1.0,33.0,2.0,5.0,211000.0,1388000.0,150000.0,0.0,0.0,0.0,2.0,2.0,50.0
2814,9.0,1.0,3.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,1.0,2.0,50.0
2854,1.0,33.0,2.0,7.0,300000.0,3000000.0,2.5,0.0,0.0,0.0,2.0,2.0,35.0
2876,19.0,15.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,1.0,2.0,50.0
2957,17.0,5.0,4.0,12.0,100000.0,2000000.0,50000.0,0.0,0.0,0.0,2.0,2.0,20.0
2994,8.0,19.0,5.0,11.0,5000000.0,100000000.0,15000000.0,0.0,0.0,0.0,2.0,2.0,50.0
3031,19.0,15.0,6.0,11.0,500000.0,8000000.0,150000.0,0.0,0.0,0.0,2.0,2.0,60.0
